Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Stat Ind,Loc Type Ind,Eff Date,Inact Date,TSP,TSP Name,TSP FERC CID,Update D/T,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name
" 40111","TARGA LOUISIANA FIELD SERVICES LLC",LA,ACADIA,N/A,D,A,INT," 19961007",," 835460478","Egan Hub Storage, LLC",C000086,20250213 11:20:17,Y,"TARGA MIDSTREAM SERVICES LLC"," 801475463",,N,,,
" 40117","NRG-BAYOU COVE PEAKING POWER, LLC-ACADIA PSH., LA",LA,ACADIA,N/A,D,A,END," 20011103",," 835460478","Egan Hub Storage, LLC",C000086,20250213 11:20:18,Y,"PELICAN POWER LLC"," 119183265",,N,,,
" 45101","ANR - STORAGE, LA (D40102/R40101)",LA,ACADIA,N/A,B,A,INT," 19961007",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:58:10,Y,"ANR PIPELINE COMPANY"," 006958581",,Y,C000623," 186900/186899","EGAN (RECEIPT) INT/EGAN (DELIVERY) INT"
" 45103","COLUMBIA - STORAGE, LA (D40104/R40103)",LA,ACADIA,N/A,B,A,INT," 19961007",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:58:20,Y,"COLUMBIA GULF TRANSMISSION, LLC"," 007854581",,Y,C000307," 4123","EGAN STOR-ACADIA-REC"
" 45105","TENN. GAS - STORAGE, LA (D40106/40105)",LA,ACADIA,N/A,B,A,INT," 19961007",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:58:29,Y,"TENNESSEE GAS PIPELINE COMPANY, L.L.C."," 001939164",,Y,C000020," 420822","EGAN HUB/TGP EGAN GAS STORAGE ACADI"
" 45107","TEXAS GAS - STORAGE, LA (D40108/R40107)",LA,ACADIA,N/A,B,A,INT," 19961007",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:58:39,Y,"TEXAS GAS TRANSMISSION,LLC"," 115972101",,Y,C000592," 9415","EGAN HUB STORAGE"
" 45109","TRUNKLINE - STORAGE, LA (D40110/R40109)",LA,ACADIA,N/A,B,A,INT," 19961007",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:58:48,Y,"TRUNKLINE GAS COMPANY, LLC"," 007933062",,Y,C000251," 93072","LA 1 STORAGE FIELD - ACCTG METER"
" 45113","FGT-STORAGE, LA (D40114/R40113)",LA,ACADIA,N/A,B,A,INT," 20011109",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:58:57,Y,"FLORIDA GAS TRANSMISSION COMPANY, LLC"," 006924518",,Y,C000255," 78300/78299","EGAN HUB (DEL)/EGAN HUB (REC)"
" 45115","TEXAS EASTERN - STORAGE, LA (D40116/R40115)",LA,EVANGELINE,N/A,B,A,INT," 20011103",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:59:07,Y,"TEXAS EASTERN TRANSMISSION, LP"," 007932908",,Y,C000094," 75332","EGAN GAS STORAGE (73331 INJ/73332 WD)"
" 45122","KINDER MORGAN (R)INJ 40122/ (D) WTD 40123",LA,EVANGELINE,N/A,B,A,INT," 20100701",," 835460478","Egan Hub Storage, LLC",C000086,20190725 13:59:18,Y,"KINDER MORGAN LOUISIANA PIPELINE LLC"," 809611911",,Y,C000231," 44403","EGAN HUB/KMLP ACADIA"
" 49100","EGAN STORAGE FACILITY",LA,ACADIA,N/A,D,A,STR," 19970214",," 835460478","Egan Hub Storage, LLC",C000086,20240725 09:00:08,N,," ",,N,,,
