Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Stat Ind,Loc Type Ind,Eff Date,Inact Date,TSP,TSP Name,TSP FERC CID,Update D/T,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name
"	83001","CPGT - DELHI (42  - CENTER POINT P/L).",LA,RICHLAND,N/A,R,A,INT,"	20080831",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"ENABLE GAS TRANSMISSION, LLC","	872670161",,Y,C000544,"	898400/898402","SESH 42 HEADER DEL/SESH 42 HEADER REC"
"	83002","CPGT - DELHI (24  - CENTER POINT P/L)",LA,RICHLAND,N/A,R,A,INT,"	20080904",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"ENABLE GAS TRANSMISSION, LLC","	872670161",,Y,C000544,"	898401/898403","SESH FM-65 CORE DEL/SESH FRM-65 CORE REC"
"	83003","GULF SOUTH - DELHI",LA,RICHLAND,N/A,R,A,INT,"	20080912",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"GULF SOUTH PIPELINE COMPANY, LLC","	078444247",,Y,C000591,"	22111","DELHI (TO SESH)"
"	83004","COLUMBIA GULF - DELHI (DEL - 83104)",LA,RICHLAND,N/A,R,A,INT,"	20080911",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"COLUMBIA GULF TRANSMISSION, LLC","	007854581",,Y,C000307,"	4208","SOUTHEASTERN SUPPLY HEADER (SESH)"
"	83005","TEXAS EASTERN RECEIPT",MS,COPIAH,N/A,R,A,INT,"	20080805",,"	808264746","Southeast Supply Header, LLC",C001203,20260127 20:20:32,Y,"TEXAS EASTERN TRANSMISSION, LP","	007932908",,Y,C000094,"	75583","TETLP/SESH (D73584/R73583)"
"	83006","SONAT - GWENVILLE (DEL- 83106)",MS,JEFFERSON DAVIS,N/A,R,A,INT,"	20080908",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"SOUTHERN NATURAL GAS COMPANY","	006900518",,Y,C000021,"	606610","SESH/SNG   JEFFERSON DAVIS"
"	83007","TRANSCO COLLINS (DEL - 83107)",MS,COVINGTON,N/A,R,A,INT,"	20081016",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","	007933021",,Y,C000654,"	9004142","COLLINS-SESH"
"	83008","TGP (DEL - 83108)",MS,FORREST,N/A,R,A,INT,"	20081104",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"TENNESSEE GAS PIPELINE COMPANY,  L.L.C.","	001939164",,Y,C000020,"	421059","PETAL"
"	83009","SG RESOURCES MISSISSIPPI L.L.C. (DEL - 83109)",MS,GREENE,N/A,R,A,INT,"	20080917",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"SG RESOURCES MISSISSIPPI, L.L.C.","	617516435",,Y,C001593,"	83009/83109","SESH"
"	83010","FGT - LUCEDALE (DEL - 83110",MS,GEORGE,N/A,R,A,INT,"	20080906",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"FLORIDA GAS TRANSMISSION COMPANY, LLC","	006924518",,Y,C000255,"	78487","SESH LUCEDALE (REC)"
"	83011","GULF STREAM - CODEN (DEL - 83111)",AL,MOBILE,N/A,R,A,INT,"	20080911",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"GULFSTREAM NATURAL GAS SYSTEM, L.L.C.","	017738746",,Y,C000087,"	9004282","SESH CODEN GNGS IN - 095"
"	83012","GULF SOUTH PETAL GAS STORAGE (WD)",MS,FORREST,N/A,R,A,STR,"	20090131",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"GULF SOUTH PIPELINE COMPANY, LLC","	078444247",,Y,C000591,"	23362","SESH PETAL RECEIPT/DELIVERY"
"	83013","GULF SOUTH, LA",LA,MADISON,N/A,R,A,INT,"	20090301",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"GULF SOUTH PIPELINE COMPANY, LLC","	078444247",,Y,C000591,"	22334","TALLULAH (TO SESH)"
"	83014","ENERGY TRANSFER/TIGER PIPELINE, RICHLAND PARISH, LA",LA,RICHLAND,N/A,R,A,INT,"	20101201",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"ETC TIGER PIPELINE, LLC","	","	0000029284",Y,C001013,"	78543","SESH"
"	83015","MISSISSIPPI HUB-BOND GAS STORAGE, COVINGTON, MS (WD)",MS,COVINGTON,N/A,R,A,STR,"	20100804",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"MISSISSIPPI HUB, LLC","	827022182",,Y,C001199,"	1112165","SOUTHEAST SUPPLY HEADER"
"	83101","TRANSCO - CODEN",AL,MOBILE,N/A,D,A,INT,"	20090113",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","	007933021",,Y,C000654,"	9004122","CODEN-SESH M3604"
"	83102","FGT STA 44 (FGT AIRPORT ROAD) CODEN",AL,MOBILE,N/A,D,A,INT,"	20080910",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"FLORIDA GAS TRANSMISSION COMPANY, LLC","	006924518",,Y,C000255,"	78486","SESH MOBILE BAY"
"	83103","THEODORE PLANT - MOBILE GAS SERVICES",AL,MOBILE,N/A,D,A,END,"	20080910",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"SPIRE GULF INC.","	","	0000031442",N,,,
"	83104","COLUMBIA GULF - DELHI (REC - 83004)",LA,RICHLAND,N/A,D,A,INT,"	20080911",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"COLUMBIA GULF TRANSMISSION, LLC","	007854581",,Y,C000307,"	4208","SOUTHEASTERN SUPPLY HEADER (SESH)"
"	83105","TEXAS EASTERN DELIVERY",MS,COPIAH,N/A,D,A,INT,"	20080805",,"	808264746","Southeast Supply Header, LLC",C001203,20260127 20:20:32,Y,"TEXAS EASTERN TRANSMISSION, LP","	007932908",,Y,C000094,"	75583","TETLP/SESH (D73584/R73583)"
"	83106","SONAT - GWINVILLE (REC - 83006)",MS,JEFFERSON DAVIS,N/A,D,A,INT,"	20080908",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"SOUTHERN NATURAL GAS COMPANY","	006900518",,Y,C000021,"	606610","SESH/SNG   JEFFERSON DAVIS"
"	83107","TRANSCO COLLINS (REC - 83007)",MS,COVINGTON,N/A,D,A,INT,"	20081016",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC","	007933021",,Y,C000654,"	9004142","COLLINS-SESH"
"	83108","TGP - (REC - 83008)",MS,FORREST,N/A,D,A,INT,"	20081104",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"TENNESSEE GAS PIPELINE COMPANY,  L.L.C.","	001939164",,Y,C000020,"	421059","PETAL"
"	83109","SG RESOURCES MISSISSIPPI L.L.C. (REC - 83009)",MS,GREENE,N/A,D,A,INT,"	20080917",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"SG RESOURCES MISSISSIPPI, L.L.C.","	617516435",,Y,C001593,"	83009/83109","SESH"
"	83110","FGT - LUCEDALE (REC - 83010)",MS,GEORGE,N/A,D,A,INT,"	20080906",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"FLORIDA GAS TRANSMISSION COMPANY, LLC","	006924518",,Y,C000255,"	78488","SESH LUCEDALE (DEL)"
"	83111","GULFSTREAM - CODEN (REC - 83011)",AL,MOBILE,N/A,D,A,INT,"	20080911",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"GULFSTREAM NATURAL GAS SYSTEM, L.L.C.","	017738746",,Y,C000087,"	9004283","SESH GS-095 OUT"
"	83113","PLANT DANIEL, MISSISSIPPI POWER COMPANY",MS,JACKSON,N/A,D,A,END,"	20090105",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"MISSISSIPPI POWER COMPANY","	","	0000028992",N,,,
"	83114","GULF SOUTH PETAL GAS STORAGE (INJ)",MS,FORREST,N/A,D,A,STR,"	20090131",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"GULF SOUTH PIPELINE COMPANY, LLC","	078444247",,Y,C000591,"	23362","SESH PETAL RECEIPT/DELIVERY"
"	83115","MISSISSIPPI HUB-BOND GAS STORAGE, COVINGTON, MS (INJ)",MS,COVINGTON,N/A,D,A,STR,"	20100819",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"MISSISSIPPI HUB, LLC","	827022182",,Y,C001199,"	1112165","SOUTHEAST SUPPLY HEADER"
"	83116","SOUTHCROSS ENERGY/MOSELLE DELIVERY",MS,JONES,N/A,D,A,INT,"	20110616",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"BBT MISSISSIPPI, LLC","	117360182",,Y,C001029,"	012248","SESH"
"	83117","BLACK BEAR TRANSMISSION",MS,JEFFERSON DAVIS,N/A,D,A,INT,"	20230807",,"	808264746","Southeast Supply Header, LLC",C001203,20250515 10:20:17,Y,"BBT MISSISSIPPI, LLC","	117360182",,Y,C001029,"	012705","SESH 2"
"	85501","LINE PACK ACCOUNTING POINT (DEL MTR 85501)",MS,COPIAH,N/A,D,A,STA,"	20080906",,"	808264746","Southeast Supply Header, LLC",C001203,20240919 13:17:28,N,,"	",,N,,,
"	85502","LINE PACK ACCOUNTING POINT (REC MTR 85502)",MS,COPIAH,N/A,R,A,STA,"	20080906",,"	808264746","Southeast Supply Header, LLC",C001203,20240919 13:17:28,N,,"	",,N,,,
"	85503","ENABLE FUEL REIMBURSEMENT",LA,RICHLAND,N/A,R,A,STA,"	20140901",,"	808264746","Southeast Supply Header, LLC",C001203,20240919 13:17:28,N,,"	",,N,,,
"	89001","PLANT DANIEL MAINLINE",AL,MOBILE,N/A,D,A,STA,"	20260701",,"	808264746","Southeast Supply Header, LLC",C001203,20260609 11:05:30,N,,"	",,N,,,
"	89002","PLANT DANIEL - HEAD OF LATERAL",,,N/A,R,A,OTH,"	20260701",,"	808264746","Southeast Supply Header, LLC",C001203,20260609 11:06:26,N,,"	",,N,,,
"	89100","SESH PAL POINT OF TRANSACTION",LA,,N/A,R,A,VIR,"	20080906",,"	808264746","Southeast Supply Header, LLC",C001203,20240919 13:17:28,N,,"	",,N,,,
"	89500","TITLE TRANSFER POINT",LA,RICHLAND,N/A,R,A,STA,"	20080906",,"	808264746","Southeast Supply Header, LLC",C001203,20240919 13:17:28,N,,"	",,N,,,
