Loc,Loc Name,Dir Flo
"	83001","CPGT - DELHI (42  - CENTER POINT P/L).",R
"	83002","CPGT - DELHI (24  - CENTER POINT P/L)",R
"	83003","GULF SOUTH - DELHI",R
"	83004","COLUMBIA GULF - DELHI (DEL - 83104)",R
"	83005","TEXAS EASTERN RECEIPT",R
"	83006","SONAT - GWENVILLE (DEL- 83106)",R
"	83007","TRANSCO COLLINS (DEL - 83107)",R
"	83008","TGP (DEL - 83108)",R
"	83009","SG RESOURCES MISSISSIPPI L.L.C. (DEL - 83109)",R
"	83010","FGT - LUCEDALE (DEL - 83110",R
"	83011","GULF STREAM - CODEN (DEL - 83111)",R
"	83012","GULF SOUTH PETAL GAS STORAGE (WD)",R
"	83013","GULF SOUTH, LA",R
"	83014","ENERGY TRANSFER/TIGER PIPELINE, RICHLAND PARISH, LA",R
"	83015","MISSISSIPPI HUB-BOND GAS STORAGE, COVINGTON, MS (WD)",R
"	83101","TRANSCO - CODEN",D
"	83102","FGT STA 44 (FGT AIRPORT ROAD) CODEN",D
"	83103","THEODORE PLANT - MOBILE GAS SERVICES",D
"	83104","COLUMBIA GULF - DELHI (REC - 83004)",D
"	83105","TEXAS EASTERN DELIVERY",D
"	83106","SONAT - GWINVILLE (REC - 83006)",D
"	83107","TRANSCO COLLINS (REC - 83007)",D
"	83108","TGP - (REC - 83008)",D
"	83109","SG RESOURCES MISSISSIPPI L.L.C. (REC - 83009)",D
"	83110","FGT - LUCEDALE (REC - 83010)",D
"	83111","GULFSTREAM - CODEN (REC - 83011)",D
"	83113","PLANT DANIEL, MISSISSIPPI POWER COMPANY",D
"	83114","GULF SOUTH PETAL GAS STORAGE (INJ)",D
"	83115","MISSISSIPPI HUB-BOND GAS STORAGE, COVINGTON, MS (INJ)",D
"	83116","SOUTHCROSS ENERGY/MOSELLE DELIVERY",D
"	83117","BLACK BEAR TRANSMISSION",D
"	89003","TRANSCO -  MOBILE BAY",D
